Date,Close/Last,Volume,Open,High,Low
09/21/2023,$295.73,21319580,$295.70,$300.2566,$293.27
09/20/2023,$299.67,19379520,$305.05,$308.06,$299.43
09/19/2023,$305.07,15931620,$302.48,$306.17,$299.81
09/18/2023,$302.55,14234160,$298.19,$303.60,$297.80
09/15/2023,$300.31,28131140,$311.61,$312.00,$298.75
09/14/2023,$311.72,19343100,$306.74,$312.87,$305.03
09/13/2023,$305.06,13210920,$302.36,$307.18,$301.3206
09/12/2023,$301.66,13480400,$306.33,$308.6599,$300.23
09/11/2023,$307.56,19489330,$301.41,$309.04,$301.28
09/08/2023,$297.89,17572200,$299.22,$305.25,$296.78
09/07/2023,$298.67,33748740,$298.00,$307.0499,$292.22
09/06/2023,$299.17,15418090,$301.71,$303.30,$295.66
09/05/2023,$300.15,14955990,$297.02,$301.39,$295.51
09/01/2023,$296.38,12842260,$299.37,$301.74,$294.47
08/31/2023,$295.89,17229870,$295.80,$301.10,$295.66
08/30/2023,$295.10,17717020,$297.17,$298.29,$293.43
08/29/2023,$297.99,20844520,$288.585,$299.15,$288.18
08/28/2023,$290.26,14239290,$288.00,$291.45,$285.80
08/25/2023,$285.50,23701440,$286.13,$288.386,$276.03
08/24/2023,$286.75,18360880,$298.50,$299.46,$286.64
08/23/2023,$294.24,18287000,$288.50,$297.40,$287.67
08/22/2023,$287.60,12999910,$292.55,$292.90,$286.75
08/21/2023,$289.90,20181480,$283.45,$290.50,$281.85
08/18/2023,$283.25,35347930,$279.03,$285.69,$274.38
08/17/2023,$285.09,23950090,$293.05,$296.05,$284.95
08/16/2023,$294.29,18547740,$300.195,$301.08,$294.28
08/15/2023,$301.95,11623610,$306.14,$307.23,$300.03
08/14/2023,$306.19,15641920,$300.98,$306.21,$298.25
08/11/2023,$301.64,14046250,$302.57,$304.72,$300.36
08/10/2023,$305.74,14358900,$307.94,$312.339,$303.87
08/09/2023,$305.21,19955780,$312.88,$313.63,$302.85
08/08/2023,$312.64,15183530,$314.40,$317.89,$310.11
08/07/2023,$316.56,16236500,$313.23,$317.07,$310.46
08/04/2023,$310.73,17612760,$314.96,$318.41,$310.20
08/03/2023,$313.19,15215420,$309.93,$315.9499,$309.93
08/02/2023,$314.31,20461090,$318.00,$318.39,$310.65
08/01/2023,$322.71,22889870,$317.535,$324.14,$314.66
07/31/2023,$318.60,25799600,$323.69,$325.6599,$317.59
07/28/2023,$325.48,39220270,$316.875,$326.20,$314.2481
07/27/2023,$311.71,64229170,$325.12,$325.35,$309.84
07/26/2023,$298.57,47256930,$301.19,$301.77,$291.90
07/25/2023,$294.47,19585580,$295.19,$298.30,$291.86
07/24/2023,$291.61,24949410,$295.78,$297.52,$288.3001
07/21/2023,$294.26,42139260,$304.57,$305.46,$291.20
07/20/2023,$302.52,23836880,$313.50,$315.54,$302.22
07/19/2023,$316.01,21763690,$313.03,$318.68,$310.52
07/18/2023,$312.05,20764580,$310.875,$314.20,$307.6188
07/17/2023,$310.62,25323130,$307.54,$311.71,$304.71
07/14/2023,$308.87,23054110,$311.79,$314.88,$307.3612
07/13/2023,$313.41,30280970,$313.62,$316.24,$310.2901
07/12/2023,$309.34,36677130,$301.745,$309.45,$300.1004
07/11/2023,$298.29,27585920,$293.90,$300.18,$291.90
07/10/2023,$294.10,37058310,$295.55,$298.13,$287.05
07/07/2023,$290.53,25585980,$292.18,$296.20,$288.66
07/06/2023,$291.99,47733830,$295.885,$298.12,$291.31
07/05/2023,$294.37,33865460,$287.65,$298.12,$286.36
07/03/2023,$286.02,8608555,$286.70,$289.40,$284.8499
06/30/2023,$286.98,19694870,$284.76,$289.05,$284.415
06/29/2023,$281.53,15395690,$284.50,$286.57,$280.69
06/28/2023,$285.29,16722120,$284.82,$289.55,$284.06
06/27/2023,$287.05,26108260,$282.01,$289.345,$280.655
06/26/2023,$278.47,24232650,$288.70,$289.79,$277.60
06/23/2023,$288.73,51092040,$281.51,$289.67,$278.95
06/22/2023,$284.88,17563060,$279.08,$285.26,$277.79
06/21/2023,$281.64,20556170,$283.53,$284.00,$278.36
06/20/2023,$284.33,20701590,$278.73,$284.80,$276.22
06/16/2023,$281.00,43127730,$284.75,$287.85,$280.13
06/15/2023,$281.83,25973460,$272.30,$283.99,$271.42
06/14/2023,$273.35,19175070,$271.89,$274.99,$268.315
06/13/2023,$271.32,16164020,$274.88,$275.72,$269.0923
06/12/2023,$271.05,15471700,$267.17,$271.75,$265.33
06/09/2023,$264.95,16949790,$262.48,$267.949,$261.70
06/08/2023,$264.58,20899360,$260.62,$267.65,$258.88
06/07/2023,$263.60,26163630,$271.67,$274.25,$262.80
06/06/2023,$271.12,19419010,$270.14,$276.57,$269.69
06/05/2023,$271.39,20742950,$270.30,$275.57,$269.56
06/02/2023,$272.61,19416930,$272.66,$275.35,$271.12
06/01/2023,$272.61,25609510,$265.90,$274.00,$265.89
05/31/2023,$264.72,25473690,$260.00,$265.00,$258.45
05/30/2023,$262.52,23816480,$265.25,$268.65,$261.29
05/26/2023,$262.04,25768660,$252.93,$262.3107,$252.71
05/25/2023,$252.69,22371440,$253.40,$255.62,$249.17
05/24/2023,$249.21,17724340,$245.28,$249.5892,$244.952
05/23/2023,$246.74,17748120,$246.81,$251.61,$246.65
05/22/2023,$248.32,27738480,$245.41,$253.57,$245.12
05/19/2023,$245.64,21733580,$247.47,$248.69,$243.41
05/18/2023,$246.85,22943300,$241.30,$247.0881,$241.19
05/17/2023,$242.485,21193080,$238.45,$243.8423,$238.14
05/16/2023,$238.82,18163770,$235.79,$239.635,$235.52
05/15/2023,$238.86,20653230,$236.92,$240.255,$235.33
05/12/2023,$233.81,16161450,$236.74,$236.9599,$231.45
05/11/2023,$235.79,20448990,$233.05,$238.21,$232.30
05/10/2023,$233.08,19119010,$236.17,$236.75,$230.72
05/09/2023,$233.37,16865590,$231.46,$235.88,$231.08
05/08/2023,$233.27,16400530,$231.415,$235.62,$230.27
05/05/2023,$232.78,27000480,$232.24,$234.68,$229.85
05/04/2023,$233.52,17889390,$236.06,$238.20,$232.9264
05/03/2023,$237.03,34463860,$239.47,$241.75,$232.75
